"","parish_of_conviction","race","total_convictions","total_parish","pct_of_total","geoid","total_race","white","black","pct_white","pct_black"
"131","Washington","W",63,145,43.448275862069,"22117",45794,30431,14098,66.4519369349697,30.7856924487924
"132","Webster","B",28,39,71.7948717948718,"22119",37356,23492,12771,62.8868187172074,34.1872791519435
"133","Webster","W",11,39,28.2051282051282,"22119",37356,23492,12771,62.8868187172074,34.1872791519435
"134","West Baton Rouge","B",27,40,67.5,"22121",27064,15559,11059,57.4896541531185,40.8624002364765
"135","West Baton Rouge","H",1,40,2.5,"22121",27064,15559,11059,57.4896541531185,40.8624002364765
"136","West Baton Rouge","W",12,40,30,"22121",27064,15559,11059,57.4896541531185,40.8624002364765
"137","West Carroll","B",10,12,83.3333333333333,"22123",9959,7934,1605,79.666633196104,16.1160759112361
"138","West Carroll","W",2,12,16.6666666666667,"22123",9959,7934,1605,79.666633196104,16.1160759112361
"139","West Feliciana","B",15,32,46.875,"22125",15334,8126,6801,52.9933481152993,44.3524194600235
"140","West Feliciana","W",17,32,53.125,"22125",15334,8126,6801,52.9933481152993,44.3524194600235
"141","Winn","B",14,15,93.3333333333333,"22127",13875,9031,4467,65.0882882882883,32.1945945945946
"142","Winn","W",1,15,6.66666666666667,"22127",13875,9031,4467,65.0882882882883,32.1945945945946
